Entry	Entry Name	Gene Names	Protein names	Organism	Length	Subcellular location [CC]	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)
P0AA84	CLSB_ECOLI	clsB ybhO b0789 JW0772	Cardiolipin synthase B (CL synthase) (EC 2.7.8.-)	Escherichia coli (strain K12)	413	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:10634942}; Peripheral membrane protein {ECO:0000305|PubMed:10634942}.	Cell membrane;Lipid biosynthesis;Lipid metabolism;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Repeat;Transferase	cardiolipin biosynthetic process [GO:0032049]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P0AA89	DOSC_ECOLI	dosC dgcO yddV b1490 JW5241	Diguanylate cyclase DosC (DGC) (EC 2.7.7.65) (Direct oxygen-sensing cyclase)	Escherichia coli (strain K12)	460		3D-structure;GTP-binding;Heme;Iron;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation;Transferase	cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201]; response to oxygen levels [GO:0070482]; response to stress [GO:0006950]	plasma membrane [GO:0005886]
P0AA93	YPDA_ECOLI	ypdA b2380 JW5388	Sensor histidine kinase YpdA (EC 2.7.13.3)	Escherichia coli (strain K12)	565	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	cell wall organization [GO:0071555]; cellular response to nutrient [GO:0031670]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]
P0AA99	DPAA_ECOLI	dpaA ldtF yafK b0224 JW0214	Peptidoglycan meso-diaminopimelic acid protein amidase A (EC 3.4.-.-) (Carboxypeptidase) (Murein L,D-endopeptidase) (Transpeptidase-like protein DpaA)	Escherichia coli (strain K12)	246		3D-structure;Carboxypeptidase;Cell wall biogenesis/degradation;Hydrolase;Protease;Reference proteome;Signal	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan metabolic process [GO:0000270]; regulation of cell shape [GO:0008360]	
P0AAA9	ZRAP_ECOLI	zraP yjaI zra b4002 JW5546	Signaling pathway modulator ZraP (Zinc resistance-associated protein) (Zra periplasmic repressor partner) (Zra system accessory protein ZraP)	Escherichia coli (strain K12)	141	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:9694902}.	Direct protein sequencing;Disulfide bond;Periplasm;Reference proteome;Signal;Stress response;Zinc	cellular response to cell envelope stress [GO:0036460]	outer membrane-bounded periplasmic space [GO:0030288]
P0AAB4	UBID_ECOLI	ubiD yigC yigY b3843 JW3819	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	Escherichia coli (strain K12)	497	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01636, ECO:0000305|PubMed:782527}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01636, ECO:0000305|PubMed:782527}.	3D-structure;Cell membrane;Decarboxylase;Flavoprotein;FMN;Lyase;Manganese;Membrane;Metal-binding;Reference proteome;Ubiquinone biosynthesis	protein hexamerization [GO:0034214]; ubiquinone biosynthetic process [GO:0006744]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P0AAC6	YCCA_ECOLI	yccA b0970 JW0953	Modulator of FtsH protease YccA	Escherichia coli (strain K12)	219	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein. Note=There are conflicting results regarding the localization of the C-terminus of this protein: According to a report, the C-terminus localizes in the periplasm (PubMed:10357810). Another report gives the C-terminus in the cytoplasm (PubMed:15919996). We show the periplasmic location. {ECO:0000269|PubMed:10357810, ECO:0000269|PubMed:15919996}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	regulation of proteolysis [GO:0030162]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P0AAC8	ISCA_ECOLI	iscA yfhF b2528 JW2512	Iron-binding protein IscA (Iron-sulfur cluster assembly protein)	Escherichia coli (strain K12)	107		3D-structure;Iron;Metal-binding;Reference proteome	iron-sulfur cluster assembly [GO:0016226]; protein maturation [GO:0051604]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron-sulfur cluster transfer complex [GO:1990230]
P0AAD6	SDAC_ECOLI	sdaC dcrA b2796 JW2767	Serine transporter SdaC (H(+)/L-serine symporter) (L-serine transport system)	Escherichia coli (strain K12)	429	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]; L-serine transport [GO:0015825]	plasma membrane [GO:0005886]
P0AAD8	TDCC_ECOLI	tdcC b3116 JW3087	Threonine/serine transporter TdcC (H(+)/threonine-serine symporter)	Escherichia coli (strain K12)	443	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01583, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2115866}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01583}.	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]; L-serine transport [GO:0015825]; threonine transport [GO:0015826]	plasma membrane [GO:0005886]
P0AAE0	CYCA_ECOLI	cycA dagA ytfD b4208 JW4166	D-serine/D-alanine/glycine transporter (Amino acid carrier CycA)	Escherichia coli (strain K12)	470	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	beta-alanine transport [GO:0001762]; D-alanine transmembrane transport [GO:0042941]; D-serine transmembrane transport [GO:0042942]; glycine transport [GO:0015816]; L-alanine transport [GO:0015808]	plasma membrane [GO:0005886]
P0AAE8	CADB_ECOLI	cadB b4132 JW4093	Cadaverine/lysine antiporter	Escherichia coli (strain K12)	444	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:16877381}; Multi-pass membrane protein {ECO:0000255}.	Amino-acid transport;Antiport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	cadaverine transport [GO:0015839]; cellular stress response to acidic pH [GO:1990451]; L-lysine transmembrane transport [GO:1903401]	plasma membrane [GO:0005886]
P0AAF1	POTE_ECOLI	potE b0692 JW0679	Putrescine transporter PotE (Putrescine-proton symporter / putrescine-ornithine antiporter)	Escherichia coli (strain K12)	439	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_02073, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:9045651, ECO:0000305|PubMed:1939141}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_02073}.	Amino-acid transport;Antiport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	putrescine transport [GO:0015847]	plasma membrane [GO:0005886]
P0AAG0	DPPD_ECOLI	dppD b3541 JW3510	Dipeptide transport ATP-binding protein DppD (EC 7.4.2.9)	Escherichia coli (strain K12)	327	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Translocase;Transport	dipeptide transport [GO:0042938]; heme transmembrane transport [GO:0035351]; protein transport [GO:0015031]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P0AAH0	PSTB_ECOLI	pstB phoT b3725 JW3703	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	Escherichia coli (strain K12)	257	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.	ATP-binding;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Nucleotide-binding;Phosphate transport;Reference proteome;Translocase;Transport	phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P0AAH4	SAPD_ECOLI	sapD trkE b1291 JW1284	Putrescine export system ATP-binding protein SapD	Escherichia coli (strain K12)	330	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Membrane;Nucleotide-binding;Potassium;Potassium transport;Reference proteome;Transport	peptide transport [GO:0015833]; potassium ion transmembrane transport [GO:0071805]; putrescine transport [GO:0015847]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]
P0AAI3	FTSH_ECOLI	ftsH hflB mrsC std tolZ b3178 JW3145	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	Escherichia coli (strain K12)	644	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01458, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:8444797, ECO:0000269|PubMed:8947034}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01458, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:8444797, ECO:0000269|PubMed:8947034}.	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Metal-binding;Metalloprotease;Nucleotide-binding;Protease;Reference proteome;Transmembrane;Transmembrane helix;Zinc	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	membrane protein complex [GO:0098796]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]
P0AAI5	FABF_ECOLI	fabF fabJ b1095 JW1081	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	Escherichia coli (strain K12)	413		3D-structure;Acyltransferase;Direct protein sequencing;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Reference proteome;Transferase	fatty acid biosynthetic process [GO:0006633]; fatty acid elongation, saturated fatty acid [GO:0019367]; monounsaturated fatty acid biosynthetic process [GO:1903966]; response to cold [GO:0009409]	cytosol [GO:0005829]
P0AAJ3	FDNH_ECOLI	fdnH b1475 JW1471	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)	Escherichia coli (strain K12)	294	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:11884747}; Single-pass membrane protein {ECO:0000269|PubMed:11884747}.	3D-structure;4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; heme oxidation [GO:0006788]	formate dehydrogenase complex [GO:0009326]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P0AAJ5	FDOH_ECOLI	fdoH b3893 JW3864	Formate dehydrogenase-O iron-sulfur subunit (Aerobic formate dehydrogenase iron-sulfur subunit) (FDH-Z subunit beta) (Formate dehydrogenase-O subunit beta)	Escherichia coli (strain K12)	300	SUBCELLULAR LOCATION: Cell membrane; Single-pass membrane protein.	4Fe-4S;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; cellular respiration [GO:0045333]; formate oxidation [GO:0015944]; heme oxidation [GO:0006788]; respiratory electron transport chain [GO:0022904]	formate dehydrogenase complex [GO:0009326]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P0AAM1	CYBH_ECOLI	hyaC b0974 JW0956	Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit	Escherichia coli (strain K12)	235	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	3D-structure;Cell inner membrane;Cell membrane;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; cellular response to starvation [GO:0009267]; fermentation [GO:0006113]; hydrogen metabolic process [GO:1902421]	[Ni-Fe] hydrogenase complex [GO:0044569]; periplasmic side of plasma membrane [GO:0098567]; plasma membrane [GO:0005886]
P0AAM3	HYPC_ECOLI	hypC b2728 JW2698	Hydrogenase maturation factor HypC (Chaperone-type protein HypC) (Hydrogenase accessory chaperone HypC)	Escherichia coli (strain K12)	90		3D-structure;Reference proteome	protein maturation [GO:0051604]; protein-containing complex assembly [GO:0065003]	
P0AAM7	HYBG_ECOLI	hybG b2990 JW2958	Hydrogenase maturation factor HybG (Hydrogenase-2 operon protein HybG)	Escherichia coli (strain K12)	82		Reference proteome	protein maturation [GO:0051604]; protein-containing complex assembly [GO:0065003]	
P0AAN3	HYPB_ECOLI	hypB b2727 JW2697	Hydrogenase maturation factor HypB (Hydrogenase isoenzymes nickel incorporation protein HypB)	Escherichia coli (strain K12)	290		Direct protein sequencing;GTP-binding;Hydrolase;Metal-binding;Nickel;Nucleotide-binding;Reference proteome;Zinc	protein maturation [GO:0051604]; protein-containing complex assembly [GO:0065003]	GTPase complex [GO:1905360]
P0AAP3	FRMR_ECOLI	frmR yaiN b0357 JW0348	Transcriptional repressor FrmR	Escherichia coli (strain K12)	91	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	3D-structure;Cytoplasm;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	negative regulation of DNA-templated transcription [GO:0045892]	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]
P0AAR3	YBAK_ECOLI	ybaK b0481 JW0470	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	Escherichia coli (strain K12)	159	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	3D-structure;Cytoplasm;Lyase;Protein biosynthesis;Reference proteome	aminoacyl-tRNA metabolism involved in translational fidelity [GO:0106074]; response to X-ray [GO:0010165]; translation [GO:0006412]	cytosol [GO:0005829]
P0AAT4	YBDG_ECOLI	ybdG mscM b0577 JW0566	Mechanosensing system component YbdG (Mechanosensitive channel homolog YbdG)	Escherichia coli (strain K12)	415	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:20616037, ECO:0000269|PubMed:31256002}; Multi-pass membrane protein {ECO:0000255}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix	cellular response to osmotic stress [GO:0071470]; response to osmotic stress [GO:0006970]	plasma membrane [GO:0005886]
P0AAT6	IOJAP_ECOLI	rsfS rsfA slm3 ybeB b0637 JW5090	Ribosomal silencing factor RsfS (Large ribosomal subunit assembly factor RsfS)	Escherichia coli (strain K12)	105	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01477, ECO:0000269|PubMed:16980477, ECO:0000269|PubMed:22829778, ECO:0000269|PubMed:33639093}. Note=Comigrates with the 50S ribosomal subunit in sucrose gradients (PubMed:16980477), specifically with ribosomal protein uL14 (rplN) (PubMed:22829778). In pre-50S ribosomal subunits interacts with uL14 (rplN), bL19 (rplS) and ObgE (PubMed:33639093). {ECO:0000269|PubMed:22829778, ECO:0000269|PubMed:33639093}.	3D-structure;Cytoplasm;Reference proteome;Repressor;Ribosome biogenesis;Translation regulation	cytosolic ribosome assembly [GO:0042256]; negative regulation of ribosome biogenesis [GO:0090071]; negative regulation of translation [GO:0017148]	cytosol [GO:0005829]
P0AAW9	ACRZ_ECOLI	acrZ ybhT b0762 JW5102	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	Escherichia coli (strain K12)	49	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229, ECO:0000269|PubMed:28355133}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}. Note=In sucrose cushions fractionates with both the inner and outer membranes.	3D-structure;Antibiotic resistance;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix;Transport	response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	cell outer membrane [GO:0009279]; plasma membrane [GO:0005886]
P0AAX8	YBIS_ECOLI	ybiS b0819 JW0803	Probable L,D-transpeptidase YbiS (EC 2.-.-.-)	Escherichia coli (strain K12)	306	SUBCELLULAR LOCATION: Periplasm.	Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Glycosyltransferase;Hydrolase;Peptidoglycan synthesis;Periplasm;Reference proteome;Signal;Transferase	cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	outer membrane-bounded periplasmic space [GO:0030288]
P0AAZ4	RARA_ECOLI	rarA mgsA ycaJ b0892 JW0875	Replication-associated recombination protein A	Escherichia coli (strain K12)	447		3D-structure;ATP-binding;DNA replication;Nucleotide-binding;Reference proteome	DNA recombination [GO:0006310]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-templated DNA replication [GO:0006261]; protein homotetramerization [GO:0051289]	replisome [GO:0030894]
P0AB06	MEPK_ECOLI	mepK ycbK b0926 JW0909	Peptidoglycan L,D-endopeptidase MepK (EC 3.4.-.-) (Murein endopeptidase K)	Escherichia coli (strain K12)	182		Cell wall biogenesis/degradation;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Zinc	cell wall organization [GO:0071555]; peptidoglycan turnover [GO:0009254]; proteolysis [GO:0006508]	outer membrane-bounded periplasmic space [GO:0030288]
P0AB38	LPOB_ECOLI	lpoB ycfM b1105 JW5157	Penicillin-binding protein activator LpoB (PBP activator LpoB) (Lipoprotein activator of PBP from the outer membrane B)	Escherichia coli (strain K12)	213	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}; Lipid-anchor {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}; Periplasmic side {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}. Note=Localizes to the divisome and to the lateral wall.	Cell outer membrane;Cell shape;Lipoprotein;Membrane;Palmitate;Peptidoglycan synthesis;Reference proteome;Signal	peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell outer membrane [GO:0009279]; periplasmic side of cell outer membrane [GO:0031241]
